PARK_NAME,PARK_STATUS,PARK_TYPE,SUB_TYPE,AREA_HECTARES,EXISTING_PARK_NO,CONSTRUCTED_YEAR,ACCESS_POINTS,COMPKEY,OBJECTID,Shape__Area,Shape__Length
KOOTENAY VISTA,ACTIVE,ENVIRONMENTAL PARKS,VISTA,0.03,627,2004,KOOTENAY PL,138371,634,570.921875,111.994854295956
ROSEPAC PARK,ACTIVE,NEIGHBOURHOOD PARKS,LOCAL,1.33,145,1990,"ROSEPAC AVE, METZAK DR",138549,635,25477.2265625,719.665401969877
EBENEZER RECREATION CENTRE,ACTIVE,COMMUNITY PARKS,COMMUNITY PARK,0.302,494,1975,EBENEZER RD,138203,636,5786.078125,320.814187107199
GARDEN SQUARE,ACTIVE,CITY PARKS,CITY PARK,0.151,530,2006,"QUEEN ST E, MAIN ST N",199567,637,2899.39453125,234.241357067868
BRAMALEA LTD COMMUNITY PARK,ACTIVE,COMMUNITY PARKS,COMMUNITY SPORTS PARK,15.482,255,1989,"NUFFIELD ST, WILLIAMS PKY, NORDIQUE PL",138051,638,296661.6484375,3441.0846573403
MANITOU PARK,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,11.768,295,1980,"NORTH PARK DR, MYNA CT, MOREGATE CR, BOVAIRD DR E, MACKAY ST N, MANITOU CR",138424,639,225578.11328125,3543.78083720019
MANSWOOD PARK SOUTH,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,2.249,563,1981,MANSWOOD CRES,199581,640,43143.60546875,996.851113205381
TORBRAM SANDALWOOD COMMUNITY PARK,ACTIVE,COMMUNITY PARKS,COMMUNITY SPORTS PARK,13.118,477,2008,"TORBRAM RD, SANDALWOOD PRKY",138750,641,251734.90234375,4426.80106520305
LOWES AVENUE PARKETTE NORTH,ACTIVE,NEIGHBOURHOOD PARKS,PARKETTE,0.162,550,1980,"ROSEDALE AV, LORNE AV, VODDEN ST",138401,642,3103.4609375,475.579293205653
LOWES AVENUE PARKETTE SOUTH,ACTIVE,NEIGHBOURHOOD PARKS,PARKETTE,0.178,074,1980,"ROSEDALE AV, LORNE AV, VODDEN ST",199569,643,3392.3515625,392.30630902163
HEREFORD POND,ACTIVE,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,3.778,1568,2006,HEREFORD ST,201423,644,72158.4296875,1072.36165235907
WESTCREEK CHANNEL,ACTIVE,ENVIRONMENTAL PARKS,CHANNEL,1.799,017,1990,,199591,645,34420.86328125,1607.39683165101
WALKER CHANNEL WEST,ACTIVE,ENVIRONMENTAL PARKS,CHANNEL,1.697,604,1990,"WALKER DR, CLARK DR",214349,646,32518.6640625,3553.92677624588
GREENMOUNT PARK SOUTH,ACTIVE,ENVIRONMENTAL PARKS,OPEN SPACE,1.672,321,1975,"GREENMOUNT RD, QUEEN ST E, GENEVA CRES",138285,647,32043.671875,2655.17651769646
SOFTNEEDLE PARKETTE,ACTIVE,NEIGHBOURHOOD PARKS,PARKETTE,0.252,283,1996,SECLUSION CRES,138699,648,4832.296875,387.160246521923
ICEBOX CHANNEL EAST,ACTIVE,ENVIRONMENTAL PARKS,CHANNEL,2.335,597,2000,"WESTCREEK BLVD, TOMKEN RD",216444,649,44659.5703125,1361.79867039984
MASSEY PARK,ACTIVE,ENVIRONMENTAL PARKS,WOODLOT,5.378,297,1980,"MASSEY ST, MACKAY ST N, MORLEY CR, MARCHMOUNT CR, MANDARIN CR",138441,650,103109.78515625,2294.84372689122
NORTON PLACE PARK,ACTIVE,COMMUNITY PARKS,COMMUNITY PARK,15.08,276,1980,"CLARK BV, LISA ST, QUEEN ST E ",138483,651,288843.140625,3385.15526672552
NUFFIELD PARK,ACTIVE,ENVIRONMENTAL PARKS,OPEN SPACE,4.193,272,1983,"NOVELLA PL, NIAGARA PL, NASMITH ST, NEWGREEN CRES, NEWGATE PL, NUFFIELD ST, NOBEL PL",138485,652,80361.8671875,3146.66191345029
MAINS CREEK CHANNEL EAST,ACTIVE,CONSERVATION AUTHORITY-OWNED LANDS(CITY MAINTAINED),CHANNEL,1.177,551,1983,"WILLIAMS PKWY, VODDEN ST W, MCLAUGHLIN RD N",138414,653,22524.76171875,1167.65099182524
MAINS CREEK CHANNEL WEST,ACTIVE,CONSERVATION AUTHORITY-OWNED LANDS(CITY MAINTAINED),CHANNEL,1.512,075,1983,"WILLIAMS PKWY, VODDEN ST W, MCLAUGHLIN RD N",199570,654,28934.0546875,968.102248841889
BREADNER WAY EAST,ACTIVE,ENVIRONMENTAL PARKS,LINK,0.639,006,2004,LEAGATE ST,138068,655,12234.9296875,1051.07285784877
BREADNER WAY WEST,ACTIVE,ENVIRONMENTAL PARKS,LINK,0.251,552,2004,LEAGATE ST,199571,656,4792.90625,443.020239200516
GATEWAY CHANNEL,ACTIVE,ENVIRONMENTAL PARKS,CHANNEL,1.592,544,1990,WALKER DR,216438,657,30520.890625,3100.43882943235
SORBY POND,ACTIVE,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,2.884,1500,2001,"CREDITVIEW RD, WORTHINGTON AVE, CREDITVIEW RD",138148,658,55183.43359375,1125.91368740533
KENNETH CHISHOLM POND,ACTIVE,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.362,1546,2003,"LUELLA CRES, WORTHINGTON AVE, SCHOONER DR",138819,659,26077.171875,699.531129492147
RIDGEHILL PARK,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,14.51,099,1980,"ELGIN DR, RIDGEHILL DR, PARKEND AV, FLETCHER DR, HAROLD ST",138536,660,277538.53125,3999.58481334126
LASCELLES PK CENTRAL,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,1.654,261,1980,"LORD SIMCOE, LEANDER RD",138387,661,31684.03515625,1385.6641965036
FAIRWAY POND,ACTIVE,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.029,1511,2002,FAIRWAY CRT,138233,662,19642.85546875,660.467625884148
ANDREW McCANDLESS POND,ACTIVE,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,2.733,1527,2017,,471376,663,52480.26953125,991.108133177244
ANDREW MCCANDLESS PARK,ACTIVE,COMMUNITY PARKS,COMMUNITY SPORTS PARK,16.304,701,2016,"MISSISSAUGA RD,",138146,664,299998.7265625,2972.41607818509
EAST RUTHERFORD ROAD SOUTH CHANNEL,ACTIVE,ENVIRONMENTAL PARKS,CHANNEL,0.338,588,1970,RUTHERFORD RD S,199607,665,6478.43359375,662.165069895426
SUMMER VALLEY PARKETTE,ACTIVE,NEIGHBOURHOOD PARKS,PARKETTE,0.881,120,2000,SUMMER VALLEY DR,138721,666,16883.05859375,584.237992243696
JORDAN PARK,ACTIVE,NEIGHBOURHOOD PARKS,LOCAL,3.473,325,1975,"JORDAN BLVD, JAYFIELD RD, JOSHUA CRT, JUDITH CRES, JEREMY PL",138347,667,66575.453125,1741.070045485
